year,commentators,all
200,0,all
201,0,all
202,0,all
203,0,all
204,0,all
205,0,all
206,0,all
207,0,all
208,0,all
209,0,all
210,0,all
211,0,all
212,0,all
213,0,all
214,0,all
215,0,all
216,1,all
217,1,all
218,1,all
219,1,all
220,1,all
221,2,all
222,2,all
223,2,all
224,2,all
225,3,all
226,3,all
227,3,all
228,3,all
229,3,all
230,3,all
231,3,all
232,3,all
233,4,all
234,4,all
235,5,all
236,5,all
237,5,all
238,5,all
239,6,all
240,6,all
241,6,all
242,6,all
243,6,all
244,6,all
245,6,all
246,7,all
247,7,all
248,7,all
249,7,all
250,7,all
251,7,all
252,7,all
253,7,all
254,7,all
255,7,all
256,6,all
257,6,all
258,6,all
259,6,all
260,6,all
261,5,all
262,5,all
263,6,all
264,6,all
265,5,all
266,5,all
267,5,all
268,5,all
269,5,all
270,5,all
271,6,all
272,6,all
273,6,all
274,6,all
275,5,all
276,6,all
277,7,all
278,7,all
279,6,all
280,6,all
281,6,all
282,6,all
283,7,all
284,7,all
285,7,all
286,6,all
287,6,all
288,6,all
289,6,all
290,6,all
291,6,all
292,6,all
293,6,all
294,6,all
295,6,all
296,6,all
297,6,all
298,6,all
299,6,all
300,7,all
301,7,all
302,7,all
303,6,all
304,8,all
305,8,all
306,8,all
307,8,all
308,8,all
309,9,all
310,9,all
311,8,all
312,8,all
313,8,all
314,8,all
315,9,all
316,8,all
317,7,all
318,8,all
319,8,all
320,8,all
321,8,all
322,8,all
323,7,all
324,8,all
325,9,all
326,9,all
327,9,all
328,9,all
329,10,all
330,10,all
331,10,all
332,11,all
333,11,all
334,11,all
335,12,all
336,12,all
337,13,all
338,15,all
339,15,all
340,14,all
341,14,all
342,14,all
343,14,all
344,12,all
345,13,all
346,13,all
347,13,all
348,16,all
349,15,all
350,16,all
351,16,all
352,16,all
353,15,all
354,15,all
355,14,all
356,14,all
357,14,all
358,14,all
359,14,all
360,15,all
361,16,all
362,17,all
363,17,all
364,16,all
365,17,all
366,17,all
367,17,all
368,17,all
369,16,all
370,17,all
371,17,all
372,16,all
373,16,all
374,17,all
375,16,all
376,17,all
377,16,all
378,15,all
379,15,all
380,15,all
381,15,all
382,15,all
383,16,all
384,16,all
385,16,all
386,16,all
387,16,all
388,16,all
389,16,all
390,16,all
391,17,all
392,17,all
393,17,all
394,17,all
395,19,all
396,19,all
397,19,all
398,18,all
399,18,all
400,17,all
401,16,all
402,16,all
403,16,all
404,16,all
405,14,all
406,14,all
407,14,all
408,14,all
409,15,all
410,14,all
411,14,all
412,14,all
413,14,all
414,13,all
415,13,all
416,13,all
417,13,all
418,12,all
419,12,all
420,13,all
421,13,all
422,13,all
423,13,all
424,13,all
425,12,all
426,12,all
427,12,all
428,10,all
429,10,all
430,9,all
431,9,all
432,9,all
433,9,all
434,10,all
435,8,all
436,8,all
437,8,all
438,8,all
439,9,all
440,9,all
441,9,all
442,9,all
443,10,all
444,10,all
445,11,all
446,13,all
447,14,all
448,15,all
449,14,all
450,15,all
451,15,all
452,15,all
453,15,all
454,15,all
455,15,all
456,14,all
457,14,all
458,17,all
459,17,all
460,16,all
461,16,all
462,16,all
463,15,all
464,15,all
465,15,all
466,15,all
467,21,all
468,20,all
469,20,all
470,21,all
471,21,all
472,21,all
473,21,all
474,21,all
475,21,all
476,22,all
477,23,all
478,23,all
479,22,all
480,22,all
481,22,all
482,22,all
483,21,all
484,24,all
485,23,all
486,21,all
487,20,all
488,19,all
489,21,all
490,20,all
491,20,all
492,20,all
493,20,all
494,20,all
495,22,all
496,25,all
497,27,all
498,24,all
499,24,all
500,27,all
501,27,all
502,27,all
503,31,all
504,32,all
505,32,all
506,32,all
507,26,all
508,26,all
509,26,all
510,25,all
511,24,all
512,24,all
513,24,all
514,23,all
515,23,all
516,22,all
517,22,all
518,22,all
519,22,all
520,23,all
521,23,all
522,23,all
523,23,all
524,20,all
525,20,all
526,21,all
527,23,all
528,23,all
529,23,all
530,23,all
531,24,all
532,24,all
533,24,all
534,24,all
535,22,all
536,19,all
537,17,all
538,17,all
539,17,all
540,14,all
541,15,all
542,16,all
543,12,all
544,11,all
545,11,all
546,11,all
547,11,all
548,11,all
549,11,all
550,11,all
551,11,all
552,11,all
553,11,all
554,11,all
555,11,all
556,11,all
557,11,all
558,12,all
559,13,all
560,13,all
561,14,all
562,13,all
563,13,all
564,13,all
565,13,all
566,12,all
567,10,all
568,10,all
569,9,all
570,9,all
571,9,all
572,10,all
573,10,all
574,10,all
575,10,all
576,10,all
577,10,all
578,10,all
579,10,all
580,10,all
581,10,all
582,10,all
583,10,all
584,11,all
585,11,all
586,11,all
587,11,all
588,12,all
589,13,all
590,13,all
591,13,all
592,14,all
593,14,all
594,14,all
595,14,all
596,18,all
597,21,all
598,22,all
599,21,all
600,21,all
601,20,all
602,20,all
603,25,all
604,25,all
605,25,all
606,27,all
607,27,all
608,27,all
609,26,all
610,28,all
611,27,all
612,27,all
613,27,all
614,28,all
615,30,all
616,34,all
617,34,all
618,35,all
619,35,all
620,35,all
621,34,all
622,34,all
623,34,all
624,33,all
625,33,all
626,33,all
627,33,all
628,32,all
629,31,all
630,31,all
631,31,all
632,31,all
633,31,all
634,31,all
635,31,all
636,30,all
637,27,all
638,25,all
639,25,all
640,24,all
641,24,all
642,24,all
643,20,all
644,20,all
645,20,all
646,18,all
647,18,all
648,18,all
649,18,all
650,16,all
651,16,all
652,15,all
653,16,all
654,15,all
655,16,all
656,12,all
657,12,all
658,11,all
659,13,all
660,13,all
661,14,all
662,13,all
663,13,all
664,13,all
665,14,all
666,14,all
667,15,all
668,15,all
669,15,all
670,15,all
671,17,all
672,16,all
673,16,all
674,16,all
675,16,all
676,14,all
677,13,all
678,14,all
679,14,all
680,14,all
681,17,all
682,17,all
683,18,all
684,19,all
685,19,all
686,19,all
687,19,all
688,19,all
689,20,all
690,20,all
691,21,all
692,23,all
693,23,all
694,25,all
695,24,all
696,24,all
697,24,all
698,24,all
699,23,all
700,23,all
701,23,all
702,23,all
703,24,all
704,25,all
705,24,all
706,24,all
707,23,all
708,27,all
709,27,all
710,27,all
711,26,all
712,27,all
713,27,all
714,28,all
715,29,all
716,28,all
717,28,all
718,31,all
719,31,all
720,31,all
721,28,all
722,33,all
723,35,all
724,34,all
725,37,all
726,37,all
727,37,all
728,37,all
729,36,all
730,36,all
731,36,all
732,34,all
733,33,all
734,32,all
735,30,all
736,30,all
737,31,all
738,32,all
739,32,all
740,32,all
741,31,all
742,31,all
743,31,all
744,30,all
745,31,all
746,33,all
747,33,all
748,29,all
749,29,all
750,30,all
751,30,all
752,29,all
753,29,all
754,29,all
755,30,all
756,30,all
757,30,all
758,26,all
759,26,all
760,26,all
761,26,all
762,23,all
763,19,all
764,24,all
765,25,all
766,28,all
767,29,all
768,30,all
769,30,all
770,30,all
771,29,all
772,30,all
773,30,all
774,29,all
775,29,all
776,30,all
777,30,all
778,30,all
779,29,all
780,29,all
781,29,all
782,30,all
783,29,all
784,31,all
785,30,all
786,32,all
787,33,all
788,37,all
789,38,all
790,37,all
791,40,all
792,40,all
793,42,all
794,45,all
795,43,all
796,43,all
797,45,all
798,45,all
799,45,all
800,46,all
801,49,all
802,50,all
803,53,all
804,54,all
805,50,all
806,47,all
807,46,all
808,45,all
809,45,all
810,45,all
811,45,all
812,48,all
813,48,all
814,49,all
815,52,all
816,51,all
817,51,all
818,50,all
819,51,all
820,52,all
821,52,all
822,52,all
823,52,all
824,51,all
825,51,all
826,47,all
827,46,all
828,45,all
829,44,all
830,45,all
831,42,all
832,42,all
833,41,all
834,38,all
835,38,all
836,38,all
837,37,all
838,37,all
839,38,all
840,37,all
841,34,all
842,31,all
843,28,all
844,25,all
845,27,all
846,27,all
847,28,all
848,30,all
849,31,all
850,33,all
851,34,all
852,30,all
853,36,all
854,37,all
855,36,all
856,36,all
857,35,all
