year,commentators,matn
200,0,Abu Dawud
201,0,Abu Dawud
202,0,Abu Dawud
203,0,Abu Dawud
204,0,Abu Dawud
205,0,Abu Dawud
206,0,Abu Dawud
207,0,Abu Dawud
208,0,Abu Dawud
209,0,Abu Dawud
210,0,Abu Dawud
211,0,Abu Dawud
212,0,Abu Dawud
213,0,Abu Dawud
214,0,Abu Dawud
215,0,Abu Dawud
216,0,Abu Dawud
217,0,Abu Dawud
218,0,Abu Dawud
219,0,Abu Dawud
220,0,Abu Dawud
221,0,Abu Dawud
222,0,Abu Dawud
223,0,Abu Dawud
224,0,Abu Dawud
225,0,Abu Dawud
226,0,Abu Dawud
227,0,Abu Dawud
228,0,Abu Dawud
229,0,Abu Dawud
230,0,Abu Dawud
231,0,Abu Dawud
232,0,Abu Dawud
233,0,Abu Dawud
234,0,Abu Dawud
235,1,Abu Dawud
236,1,Abu Dawud
237,1,Abu Dawud
238,1,Abu Dawud
239,1,Abu Dawud
240,1,Abu Dawud
241,1,Abu Dawud
242,1,Abu Dawud
243,1,Abu Dawud
244,1,Abu Dawud
245,1,Abu Dawud
246,1,Abu Dawud
247,1,Abu Dawud
248,1,Abu Dawud
249,1,Abu Dawud
250,1,Abu Dawud
251,1,Abu Dawud
252,1,Abu Dawud
253,1,Abu Dawud
254,1,Abu Dawud
255,1,Abu Dawud
256,1,Abu Dawud
257,1,Abu Dawud
258,1,Abu Dawud
259,1,Abu Dawud
260,1,Abu Dawud
261,1,Abu Dawud
262,1,Abu Dawud
263,1,Abu Dawud
264,1,Abu Dawud
265,1,Abu Dawud
266,1,Abu Dawud
267,1,Abu Dawud
268,1,Abu Dawud
269,1,Abu Dawud
270,1,Abu Dawud
271,1,Abu Dawud
272,1,Abu Dawud
273,1,Abu Dawud
274,1,Abu Dawud
275,0,Abu Dawud
276,0,Abu Dawud
277,0,Abu Dawud
278,0,Abu Dawud
279,0,Abu Dawud
280,0,Abu Dawud
281,0,Abu Dawud
282,0,Abu Dawud
283,0,Abu Dawud
284,0,Abu Dawud
285,0,Abu Dawud
286,0,Abu Dawud
287,0,Abu Dawud
288,0,Abu Dawud
289,0,Abu Dawud
290,0,Abu Dawud
291,0,Abu Dawud
292,0,Abu Dawud
293,0,Abu Dawud
294,0,Abu Dawud
295,0,Abu Dawud
296,0,Abu Dawud
297,0,Abu Dawud
298,0,Abu Dawud
299,0,Abu Dawud
300,0,Abu Dawud
301,0,Abu Dawud
302,0,Abu Dawud
303,0,Abu Dawud
304,0,Abu Dawud
305,0,Abu Dawud
