year,commentators,matn
200,0,Ibn Maja
201,0,Ibn Maja
202,0,Ibn Maja
203,0,Ibn Maja
204,0,Ibn Maja
205,0,Ibn Maja
206,0,Ibn Maja
207,0,Ibn Maja
208,0,Ibn Maja
209,0,Ibn Maja
210,0,Ibn Maja
211,0,Ibn Maja
212,0,Ibn Maja
213,0,Ibn Maja
214,0,Ibn Maja
215,0,Ibn Maja
216,0,Ibn Maja
217,0,Ibn Maja
218,0,Ibn Maja
219,0,Ibn Maja
220,0,Ibn Maja
221,0,Ibn Maja
222,0,Ibn Maja
223,0,Ibn Maja
224,0,Ibn Maja
225,0,Ibn Maja
226,0,Ibn Maja
227,0,Ibn Maja
228,0,Ibn Maja
229,0,Ibn Maja
230,0,Ibn Maja
231,0,Ibn Maja
232,0,Ibn Maja
233,1,Ibn Maja
234,1,Ibn Maja
235,1,Ibn Maja
236,1,Ibn Maja
237,1,Ibn Maja
238,1,Ibn Maja
239,1,Ibn Maja
240,1,Ibn Maja
241,1,Ibn Maja
242,1,Ibn Maja
243,1,Ibn Maja
244,1,Ibn Maja
245,1,Ibn Maja
246,1,Ibn Maja
247,1,Ibn Maja
248,1,Ibn Maja
249,1,Ibn Maja
250,1,Ibn Maja
251,1,Ibn Maja
252,1,Ibn Maja
253,1,Ibn Maja
254,1,Ibn Maja
255,1,Ibn Maja
256,1,Ibn Maja
257,1,Ibn Maja
258,1,Ibn Maja
259,1,Ibn Maja
260,1,Ibn Maja
261,1,Ibn Maja
262,1,Ibn Maja
263,1,Ibn Maja
264,1,Ibn Maja
265,1,Ibn Maja
266,1,Ibn Maja
267,1,Ibn Maja
268,1,Ibn Maja
269,1,Ibn Maja
270,1,Ibn Maja
271,1,Ibn Maja
272,1,Ibn Maja
273,0,Ibn Maja
274,0,Ibn Maja
275,0,Ibn Maja
276,0,Ibn Maja
277,0,Ibn Maja
278,0,Ibn Maja
279,0,Ibn Maja
280,0,Ibn Maja
281,0,Ibn Maja
282,0,Ibn Maja
283,0,Ibn Maja
284,0,Ibn Maja
285,0,Ibn Maja
286,0,Ibn Maja
287,0,Ibn Maja
288,0,Ibn Maja
289,0,Ibn Maja
290,0,Ibn Maja
291,0,Ibn Maja
292,0,Ibn Maja
293,0,Ibn Maja
294,0,Ibn Maja
295,0,Ibn Maja
296,0,Ibn Maja
297,0,Ibn Maja
298,0,Ibn Maja
299,0,Ibn Maja
300,0,Ibn Maja
301,0,Ibn Maja
302,0,Ibn Maja
303,0,Ibn Maja
304,0,Ibn Maja
305,0,Ibn Maja
306,0,Ibn Maja
307,0,Ibn Maja
308,0,Ibn Maja
309,0,Ibn Maja
310,0,Ibn Maja
311,0,Ibn Maja
312,0,Ibn Maja
313,0,Ibn Maja
314,0,Ibn Maja
315,0,Ibn Maja
316,0,Ibn Maja
317,0,Ibn Maja
318,0,Ibn Maja
319,0,Ibn Maja
320,0,Ibn Maja
321,0,Ibn Maja
322,0,Ibn Maja
323,0,Ibn Maja
324,0,Ibn Maja
325,0,Ibn Maja
326,0,Ibn Maja
327,0,Ibn Maja
328,0,Ibn Maja
329,0,Ibn Maja
330,0,Ibn Maja
331,0,Ibn Maja
332,0,Ibn Maja
333,0,Ibn Maja
334,0,Ibn Maja
335,0,Ibn Maja
336,0,Ibn Maja
337,0,Ibn Maja
338,0,Ibn Maja
339,0,Ibn Maja
340,0,Ibn Maja
341,0,Ibn Maja
342,0,Ibn Maja
343,0,Ibn Maja
344,0,Ibn Maja
345,0,Ibn Maja
346,0,Ibn Maja
347,0,Ibn Maja
348,0,Ibn Maja
349,0,Ibn Maja
350,0,Ibn Maja
351,0,Ibn Maja
352,0,Ibn Maja
353,0,Ibn Maja
354,0,Ibn Maja
355,0,Ibn Maja
356,0,Ibn Maja
357,0,Ibn Maja
358,0,Ibn Maja
359,0,Ibn Maja
360,0,Ibn Maja
361,0,Ibn Maja
362,0,Ibn Maja
363,0,Ibn Maja
364,0,Ibn Maja
365,0,Ibn Maja
366,0,Ibn Maja
367,0,Ibn Maja
368,0,Ibn Maja
369,0,Ibn Maja
370,0,Ibn Maja
371,0,Ibn Maja
372,0,Ibn Maja
373,0,Ibn Maja
374,0,Ibn Maja
375,0,Ibn Maja
376,0,Ibn Maja
377,0,Ibn Maja
378,0,Ibn Maja
379,0,Ibn Maja
380,0,Ibn Maja
381,0,Ibn Maja
382,0,Ibn Maja
383,0,Ibn Maja
384,0,Ibn Maja
385,0,Ibn Maja
386,0,Ibn Maja
387,0,Ibn Maja
388,0,Ibn Maja
389,0,Ibn Maja
390,0,Ibn Maja
391,0,Ibn Maja
392,0,Ibn Maja
393,0,Ibn Maja
394,0,Ibn Maja
395,0,Ibn Maja
396,0,Ibn Maja
397,0,Ibn Maja
398,0,Ibn Maja
399,0,Ibn Maja
400,0,Ibn Maja
401,0,Ibn Maja
402,0,Ibn Maja
403,0,Ibn Maja
404,0,Ibn Maja
405,0,Ibn Maja
406,0,Ibn Maja
407,0,Ibn Maja
408,0,Ibn Maja
409,0,Ibn Maja
410,0,Ibn Maja
411,0,Ibn Maja
412,0,Ibn Maja
413,0,Ibn Maja
414,0,Ibn Maja
415,0,Ibn Maja
416,0,Ibn Maja
417,0,Ibn Maja
418,0,Ibn Maja
419,0,Ibn Maja
420,0,Ibn Maja
421,0,Ibn Maja
422,0,Ibn Maja
423,0,Ibn Maja
424,0,Ibn Maja
425,0,Ibn Maja
426,0,Ibn Maja
427,0,Ibn Maja
428,0,Ibn Maja
429,0,Ibn Maja
430,0,Ibn Maja
431,0,Ibn Maja
432,0,Ibn Maja
433,0,Ibn Maja
434,0,Ibn Maja
435,0,Ibn Maja
436,0,Ibn Maja
437,0,Ibn Maja
438,0,Ibn Maja
439,0,Ibn Maja
440,0,Ibn Maja
441,0,Ibn Maja
442,0,Ibn Maja
443,0,Ibn Maja
444,0,Ibn Maja
445,0,Ibn Maja
446,0,Ibn Maja
447,0,Ibn Maja
448,0,Ibn Maja
449,0,Ibn Maja
450,0,Ibn Maja
451,0,Ibn Maja
452,0,Ibn Maja
453,0,Ibn Maja
454,0,Ibn Maja
455,0,Ibn Maja
456,0,Ibn Maja
457,0,Ibn Maja
458,0,Ibn Maja
459,0,Ibn Maja
460,0,Ibn Maja
461,0,Ibn Maja
462,0,Ibn Maja
463,0,Ibn Maja
464,0,Ibn Maja
465,0,Ibn Maja
466,0,Ibn Maja
467,1,Ibn Maja
468,1,Ibn Maja
469,1,Ibn Maja
470,1,Ibn Maja
471,1,Ibn Maja
472,1,Ibn Maja
473,1,Ibn Maja
474,1,Ibn Maja
475,1,Ibn Maja
476,1,Ibn Maja
477,1,Ibn Maja
478,1,Ibn Maja
479,1,Ibn Maja
480,1,Ibn Maja
481,1,Ibn Maja
482,1,Ibn Maja
483,1,Ibn Maja
484,1,Ibn Maja
485,1,Ibn Maja
486,1,Ibn Maja
487,1,Ibn Maja
488,1,Ibn Maja
489,1,Ibn Maja
490,1,Ibn Maja
491,1,Ibn Maja
492,1,Ibn Maja
493,1,Ibn Maja
494,1,Ibn Maja
495,1,Ibn Maja
496,1,Ibn Maja
497,1,Ibn Maja
498,1,Ibn Maja
499,1,Ibn Maja
500,1,Ibn Maja
501,1,Ibn Maja
502,1,Ibn Maja
503,1,Ibn Maja
504,1,Ibn Maja
505,1,Ibn Maja
506,1,Ibn Maja
507,0,Ibn Maja
508,0,Ibn Maja
509,0,Ibn Maja
510,0,Ibn Maja
511,0,Ibn Maja
512,0,Ibn Maja
513,0,Ibn Maja
514,0,Ibn Maja
515,0,Ibn Maja
516,0,Ibn Maja
517,0,Ibn Maja
518,0,Ibn Maja
519,0,Ibn Maja
520,0,Ibn Maja
521,0,Ibn Maja
522,0,Ibn Maja
523,0,Ibn Maja
524,0,Ibn Maja
525,0,Ibn Maja
526,0,Ibn Maja
527,1,Ibn Maja
528,1,Ibn Maja
529,1,Ibn Maja
530,1,Ibn Maja
531,1,Ibn Maja
532,1,Ibn Maja
533,1,Ibn Maja
534,1,Ibn Maja
535,1,Ibn Maja
536,1,Ibn Maja
537,1,Ibn Maja
538,1,Ibn Maja
539,1,Ibn Maja
540,1,Ibn Maja
541,1,Ibn Maja
542,1,Ibn Maja
543,1,Ibn Maja
544,1,Ibn Maja
545,1,Ibn Maja
546,1,Ibn Maja
547,1,Ibn Maja
548,1,Ibn Maja
549,1,Ibn Maja
550,1,Ibn Maja
551,1,Ibn Maja
552,1,Ibn Maja
553,1,Ibn Maja
554,1,Ibn Maja
555,1,Ibn Maja
556,1,Ibn Maja
557,1,Ibn Maja
558,1,Ibn Maja
559,1,Ibn Maja
560,1,Ibn Maja
561,1,Ibn Maja
562,1,Ibn Maja
563,1,Ibn Maja
564,1,Ibn Maja
