year,commentators,matn
200,0,Muslim
201,0,Muslim
202,0,Muslim
203,0,Muslim
204,0,Muslim
205,0,Muslim
206,0,Muslim
207,0,Muslim
208,0,Muslim
209,0,Muslim
210,0,Muslim
211,0,Muslim
212,0,Muslim
213,0,Muslim
214,0,Muslim
215,0,Muslim
216,0,Muslim
217,0,Muslim
218,0,Muslim
219,0,Muslim
220,0,Muslim
221,1,Muslim
222,1,Muslim
223,1,Muslim
224,1,Muslim
225,1,Muslim
226,1,Muslim
227,1,Muslim
228,1,Muslim
229,1,Muslim
230,1,Muslim
231,1,Muslim
232,1,Muslim
233,1,Muslim
234,1,Muslim
235,1,Muslim
236,1,Muslim
237,1,Muslim
238,1,Muslim
239,1,Muslim
240,1,Muslim
241,1,Muslim
242,1,Muslim
243,1,Muslim
244,1,Muslim
245,1,Muslim
246,2,Muslim
247,2,Muslim
248,2,Muslim
249,2,Muslim
250,2,Muslim
251,2,Muslim
252,2,Muslim
253,2,Muslim
254,2,Muslim
255,2,Muslim
256,2,Muslim
257,2,Muslim
258,2,Muslim
259,2,Muslim
260,2,Muslim
261,1,Muslim
262,1,Muslim
263,1,Muslim
264,1,Muslim
265,1,Muslim
266,1,Muslim
267,1,Muslim
268,1,Muslim
269,1,Muslim
270,1,Muslim
271,2,Muslim
272,2,Muslim
273,3,Muslim
274,3,Muslim
275,3,Muslim
276,4,Muslim
277,5,Muslim
278,5,Muslim
279,5,Muslim
280,5,Muslim
281,5,Muslim
282,5,Muslim
283,6,Muslim
284,6,Muslim
285,6,Muslim
286,5,Muslim
287,5,Muslim
288,5,Muslim
289,5,Muslim
290,5,Muslim
291,5,Muslim
292,5,Muslim
293,5,Muslim
294,5,Muslim
295,5,Muslim
296,5,Muslim
297,5,Muslim
298,5,Muslim
299,5,Muslim
300,6,Muslim
301,6,Muslim
302,6,Muslim
303,6,Muslim
304,8,Muslim
305,8,Muslim
306,8,Muslim
307,8,Muslim
308,8,Muslim
309,9,Muslim
310,9,Muslim
311,8,Muslim
312,8,Muslim
313,8,Muslim
314,8,Muslim
315,9,Muslim
316,8,Muslim
317,7,Muslim
318,7,Muslim
319,7,Muslim
320,7,Muslim
321,7,Muslim
322,7,Muslim
323,6,Muslim
324,6,Muslim
325,7,Muslim
326,7,Muslim
327,7,Muslim
328,7,Muslim
329,8,Muslim
330,8,Muslim
331,8,Muslim
332,9,Muslim
333,9,Muslim
334,9,Muslim
335,10,Muslim
336,10,Muslim
337,10,Muslim
338,10,Muslim
339,10,Muslim
340,9,Muslim
341,9,Muslim
342,9,Muslim
343,9,Muslim
344,7,Muslim
345,8,Muslim
346,8,Muslim
347,8,Muslim
348,9,Muslim
349,8,Muslim
350,8,Muslim
351,8,Muslim
352,8,Muslim
353,7,Muslim
354,7,Muslim
355,6,Muslim
356,6,Muslim
357,6,Muslim
358,6,Muslim
359,6,Muslim
360,7,Muslim
361,8,Muslim
362,8,Muslim
363,8,Muslim
364,8,Muslim
365,8,Muslim
366,8,Muslim
367,8,Muslim
368,8,Muslim
369,7,Muslim
370,7,Muslim
371,7,Muslim
372,6,Muslim
373,6,Muslim
374,7,Muslim
375,6,Muslim
376,6,Muslim
377,6,Muslim
378,7,Muslim
379,7,Muslim
380,7,Muslim
381,7,Muslim
382,7,Muslim
383,7,Muslim
384,7,Muslim
385,7,Muslim
386,7,Muslim
387,7,Muslim
388,7,Muslim
389,7,Muslim
390,8,Muslim
391,9,Muslim
392,9,Muslim
393,9,Muslim
394,9,Muslim
395,9,Muslim
396,9,Muslim
397,9,Muslim
398,9,Muslim
399,9,Muslim
400,8,Muslim
401,7,Muslim
402,7,Muslim
403,7,Muslim
404,7,Muslim
405,6,Muslim
406,6,Muslim
407,6,Muslim
408,6,Muslim
409,6,Muslim
410,6,Muslim
411,6,Muslim
412,6,Muslim
413,6,Muslim
414,5,Muslim
415,5,Muslim
416,5,Muslim
417,5,Muslim
418,4,Muslim
419,4,Muslim
420,4,Muslim
421,4,Muslim
422,4,Muslim
423,4,Muslim
424,4,Muslim
425,3,Muslim
426,3,Muslim
427,3,Muslim
428,3,Muslim
429,3,Muslim
430,2,Muslim
431,1,Muslim
432,1,Muslim
433,1,Muslim
434,1,Muslim
435,1,Muslim
436,1,Muslim
437,1,Muslim
438,1,Muslim
439,1,Muslim
440,1,Muslim
441,1,Muslim
442,1,Muslim
443,1,Muslim
444,1,Muslim
445,1,Muslim
446,2,Muslim
447,2,Muslim
448,3,Muslim
449,3,Muslim
450,3,Muslim
451,3,Muslim
452,3,Muslim
453,3,Muslim
454,3,Muslim
455,3,Muslim
456,3,Muslim
457,3,Muslim
458,4,Muslim
459,4,Muslim
460,4,Muslim
461,4,Muslim
462,4,Muslim
463,4,Muslim
464,4,Muslim
465,4,Muslim
466,4,Muslim
467,5,Muslim
468,4,Muslim
469,4,Muslim
470,5,Muslim
471,6,Muslim
472,6,Muslim
473,6,Muslim
474,6,Muslim
475,6,Muslim
476,6,Muslim
477,7,Muslim
478,7,Muslim
479,7,Muslim
480,7,Muslim
481,7,Muslim
482,8,Muslim
483,8,Muslim
484,9,Muslim
485,9,Muslim
486,8,Muslim
487,8,Muslim
488,7,Muslim
489,9,Muslim
490,9,Muslim
491,9,Muslim
492,9,Muslim
493,9,Muslim
494,9,Muslim
495,10,Muslim
496,12,Muslim
497,12,Muslim
498,11,Muslim
499,11,Muslim
500,11,Muslim
501,11,Muslim
502,11,Muslim
503,13,Muslim
504,14,Muslim
505,14,Muslim
506,14,Muslim
507,13,Muslim
508,13,Muslim
509,13,Muslim
510,12,Muslim
511,11,Muslim
512,11,Muslim
513,11,Muslim
514,11,Muslim
515,11,Muslim
516,11,Muslim
517,10,Muslim
518,10,Muslim
519,10,Muslim
520,11,Muslim
521,11,Muslim
522,10,Muslim
523,10,Muslim
524,9,Muslim
525,9,Muslim
526,10,Muslim
527,10,Muslim
528,10,Muslim
529,10,Muslim
530,10,Muslim
531,11,Muslim
532,11,Muslim
533,11,Muslim
534,11,Muslim
535,10,Muslim
536,8,Muslim
537,8,Muslim
538,8,Muslim
539,8,Muslim
540,8,Muslim
541,8,Muslim
542,8,Muslim
543,6,Muslim
544,5,Muslim
545,5,Muslim
546,5,Muslim
547,5,Muslim
548,5,Muslim
549,5,Muslim
550,5,Muslim
551,5,Muslim
552,5,Muslim
553,5,Muslim
554,5,Muslim
555,5,Muslim
