year,commentators,matn
200,0,Nasai
201,0,Nasai
202,0,Nasai
203,0,Nasai
204,0,Nasai
205,0,Nasai
206,0,Nasai
207,0,Nasai
208,0,Nasai
209,0,Nasai
210,0,Nasai
211,0,Nasai
212,0,Nasai
213,0,Nasai
214,0,Nasai
215,0,Nasai
216,0,Nasai
217,0,Nasai
218,0,Nasai
219,0,Nasai
220,0,Nasai
221,0,Nasai
222,0,Nasai
223,0,Nasai
224,0,Nasai
225,0,Nasai
226,0,Nasai
227,0,Nasai
228,0,Nasai
229,0,Nasai
230,0,Nasai
231,0,Nasai
232,0,Nasai
233,0,Nasai
234,0,Nasai
235,0,Nasai
236,0,Nasai
237,0,Nasai
238,0,Nasai
239,0,Nasai
240,0,Nasai
241,0,Nasai
242,0,Nasai
243,0,Nasai
244,0,Nasai
245,0,Nasai
246,0,Nasai
247,0,Nasai
248,0,Nasai
249,0,Nasai
250,0,Nasai
251,0,Nasai
252,0,Nasai
253,0,Nasai
254,0,Nasai
255,0,Nasai
256,0,Nasai
257,0,Nasai
258,0,Nasai
259,0,Nasai
260,0,Nasai
261,0,Nasai
262,0,Nasai
263,1,Nasai
264,1,Nasai
265,1,Nasai
266,1,Nasai
267,1,Nasai
268,1,Nasai
269,1,Nasai
270,1,Nasai
271,1,Nasai
272,1,Nasai
273,1,Nasai
274,1,Nasai
275,1,Nasai
276,1,Nasai
277,1,Nasai
278,1,Nasai
279,1,Nasai
280,1,Nasai
281,1,Nasai
282,1,Nasai
283,1,Nasai
284,1,Nasai
285,1,Nasai
286,1,Nasai
287,1,Nasai
288,1,Nasai
289,1,Nasai
290,1,Nasai
291,1,Nasai
292,1,Nasai
293,1,Nasai
294,1,Nasai
295,1,Nasai
296,1,Nasai
297,1,Nasai
298,1,Nasai
299,1,Nasai
300,1,Nasai
301,1,Nasai
302,1,Nasai
303,0,Nasai
304,0,Nasai
305,0,Nasai
306,0,Nasai
307,0,Nasai
308,0,Nasai
309,0,Nasai
310,0,Nasai
311,0,Nasai
312,0,Nasai
313,0,Nasai
314,0,Nasai
315,0,Nasai
316,0,Nasai
317,0,Nasai
318,0,Nasai
319,0,Nasai
320,0,Nasai
321,0,Nasai
322,0,Nasai
323,0,Nasai
324,1,Nasai
325,1,Nasai
326,1,Nasai
327,1,Nasai
328,1,Nasai
329,1,Nasai
330,1,Nasai
331,1,Nasai
332,1,Nasai
333,1,Nasai
334,1,Nasai
335,1,Nasai
336,1,Nasai
337,1,Nasai
338,1,Nasai
339,1,Nasai
340,1,Nasai
341,1,Nasai
342,1,Nasai
343,1,Nasai
344,1,Nasai
345,1,Nasai
346,1,Nasai
347,1,Nasai
348,1,Nasai
349,1,Nasai
350,1,Nasai
351,1,Nasai
352,1,Nasai
353,1,Nasai
354,1,Nasai
355,1,Nasai
356,1,Nasai
357,1,Nasai
358,1,Nasai
359,1,Nasai
360,1,Nasai
361,1,Nasai
362,1,Nasai
363,1,Nasai
364,0,Nasai
365,0,Nasai
366,0,Nasai
367,0,Nasai
368,0,Nasai
369,0,Nasai
370,0,Nasai
371,0,Nasai
372,0,Nasai
373,0,Nasai
374,0,Nasai
375,0,Nasai
376,0,Nasai
377,0,Nasai
378,0,Nasai
379,0,Nasai
380,0,Nasai
381,0,Nasai
382,0,Nasai
383,0,Nasai
384,0,Nasai
385,0,Nasai
386,0,Nasai
387,0,Nasai
388,0,Nasai
389,0,Nasai
390,0,Nasai
391,0,Nasai
392,0,Nasai
393,0,Nasai
394,0,Nasai
395,0,Nasai
396,0,Nasai
397,0,Nasai
398,0,Nasai
399,0,Nasai
400,0,Nasai
401,0,Nasai
402,0,Nasai
403,0,Nasai
404,0,Nasai
405,0,Nasai
406,0,Nasai
407,0,Nasai
408,0,Nasai
409,0,Nasai
410,0,Nasai
411,0,Nasai
412,0,Nasai
413,0,Nasai
