year,commentators,matn
200,0,Tirmidhi
201,0,Tirmidhi
202,0,Tirmidhi
203,0,Tirmidhi
204,0,Tirmidhi
205,0,Tirmidhi
206,0,Tirmidhi
207,0,Tirmidhi
208,0,Tirmidhi
209,0,Tirmidhi
210,0,Tirmidhi
211,0,Tirmidhi
212,0,Tirmidhi
213,0,Tirmidhi
214,0,Tirmidhi
215,0,Tirmidhi
216,0,Tirmidhi
217,0,Tirmidhi
218,0,Tirmidhi
219,0,Tirmidhi
220,0,Tirmidhi
221,0,Tirmidhi
222,0,Tirmidhi
223,0,Tirmidhi
224,0,Tirmidhi
225,0,Tirmidhi
226,0,Tirmidhi
227,0,Tirmidhi
228,0,Tirmidhi
229,0,Tirmidhi
230,0,Tirmidhi
231,0,Tirmidhi
232,0,Tirmidhi
233,0,Tirmidhi
234,0,Tirmidhi
235,0,Tirmidhi
236,0,Tirmidhi
237,0,Tirmidhi
238,0,Tirmidhi
239,1,Tirmidhi
240,1,Tirmidhi
241,1,Tirmidhi
242,1,Tirmidhi
243,1,Tirmidhi
244,1,Tirmidhi
245,1,Tirmidhi
246,1,Tirmidhi
247,1,Tirmidhi
248,1,Tirmidhi
249,1,Tirmidhi
250,1,Tirmidhi
251,1,Tirmidhi
252,1,Tirmidhi
253,1,Tirmidhi
254,1,Tirmidhi
255,1,Tirmidhi
256,1,Tirmidhi
257,1,Tirmidhi
258,1,Tirmidhi
259,1,Tirmidhi
260,1,Tirmidhi
261,1,Tirmidhi
262,1,Tirmidhi
263,1,Tirmidhi
264,1,Tirmidhi
265,1,Tirmidhi
266,1,Tirmidhi
267,1,Tirmidhi
268,1,Tirmidhi
269,1,Tirmidhi
270,1,Tirmidhi
271,1,Tirmidhi
272,1,Tirmidhi
273,1,Tirmidhi
274,1,Tirmidhi
275,1,Tirmidhi
276,1,Tirmidhi
277,1,Tirmidhi
278,1,Tirmidhi
279,0,Tirmidhi
280,0,Tirmidhi
281,0,Tirmidhi
282,0,Tirmidhi
283,0,Tirmidhi
284,0,Tirmidhi
285,0,Tirmidhi
286,0,Tirmidhi
287,0,Tirmidhi
288,0,Tirmidhi
289,0,Tirmidhi
290,0,Tirmidhi
291,0,Tirmidhi
292,0,Tirmidhi
293,0,Tirmidhi
294,0,Tirmidhi
295,0,Tirmidhi
296,0,Tirmidhi
297,0,Tirmidhi
298,0,Tirmidhi
299,0,Tirmidhi
